area,gisjoin1950,gisjoin2010
.0144201,G06003700166,G0600370212420
.00018046801,G06003700166,G0600370212620
.0072389599,G06003700166,G0600370213100
.31797099,G06003700166,G0600370213202
.00046339899,G06003700166,G0600370213310
.0072049699,G06003700166,G0600370212502
.0080260905,G06003700163,G0600370212701
.0171782,G06003700163,G0600370212620
.0049851499,G06003700163,G0600370212900
.50898099,G06003700163,G0600370213100
.010954,G06003700161,G0600370212701
.35756201,G06003700161,G0600370212900
.76961601,G06003700161,G0600370212800
.00287774,G06003700161,G0600370216100
.0076929,G06003700161,G0600370212702
.00115227,G06003700161,G0600370217200
.000049486502,G06003700210,G0600370221220
.0067708502,G06003700210,G0600370221120
.000157762,G06003700210,G0600370221820
.0014308,G06003700210,G0600370221810
.0000176339,G06003700210,G0600370224410
.0010843599,G06003700210,G0600370224320
.000178756,G06003700210,G0600370224310
.32262,G06003700210,G0600370221710
.245234,G06003700210,G0600370221602
.0078375395,G06003700207A,G0600370219020
.0000373685,G06003700207A,G0600370234300
.79237002,G06003700207A,G0600370234000
.0092168003,G06003700207A,G0600370236100
.0053145899,G06003700207A,G0600370231400
.87308902,G06003700207A,G0600370234200
.00044472801,G06003700207A,G0600370222002
.0054704999,G06003700207A,G0600370219300
1.1282700e-06,G06003700207A,G0600370220000
.0112101,G06003700207B,G0600370234502
.000080408601,G06003700207B,G0600370232400
.86069798,G06003700207B,G0600370234300
.449505,G06003700207B,G0600370234000
.00068967999,G06003700207B,G0600370703200
.000050098399,G06003700207B,G0600370231400
.00726174,G06003700207B,G0600370231500
.00514002,G06003700207B,G0600370234200
1.21301,G06003700008,G0600370115103
.95330298,G06003700008,G0600370115404
.70374399,G06003700008,G0600370115403
1.01362,G06003700008,G0600370115104
.0147452,G06003700008,G0600370131400
.00029797401,G06003700008,G0600370980008
.0128701,G06003700008,G0600370131300
.017418999,G06003700008,G0600370131100
.0164393,G06003700008,G0600370131010
1.35203,G06003700008,G0600370115201
.83262902,G06003700008,G0600370115302
1.7413599,G06003700008,G0600370115202
3.8556399,G06003700008,G0600370115101
.0104108,G06003700008,G0600370117302
1.90516,G06003700008,G0600370115401
.0191737,G06003700008,G0600370131200
.0171507,G06003700008,G0600370131600
1.59591,G06003700008,G0600370115301
.38693401,G06003700009,G0600370120108
.20728099,G06003700009,G0600370120107
.20628899,G06003700009,G0600370120106
.453888,G06003700009,G0600370120104
.13849001,G06003700009,G0600370120103
.219079,G06003700009,G0600370119342
.32638901,G06003700009,G0600370119341
.37650701,G06003700009,G0600370117408
.19833399,G06003700009,G0600370117407
.787238,G06003700009,G0600370117201
1.03099,G06003700009,G0600370117102
.77948999,G06003700009,G0600370117101
.55088902,G06003700009,G0600370120105
.0021331899,G06003700009,G0600370119202
.019845,G06003700009,G0600370119201
1.80347,G06003700009,G0600370117202
.0276263,G06003700009,G0600370127400
.067019902,G06003700009,G0600370980008
.0043747602,G06003700009,G0600370115101
1.32734,G06003700009,G0600370117301
2.0276699,G06003700009,G0600370117302
1.76566,G06003700009,G0600370117404
